nid,x,y,nseq,eid
44851,1709607.72750714,936054.860440945,1,65766
44851,1709607.72750714,936054.860440945,2,72936
44870,1741439.00689423,1003272.0503634,1,65787
44870,1741439.00689423,1003272.0503634,2,65924
44870,1741439.00689423,1003272.0503634,3,69174
45489,1695884.19642576,906927.46303402,1,66601
45489,1695884.19642576,906927.46303402,2,71822
45489,1695884.19642576,906927.46303402,3,75040
45552,1775523.30544491,1043531.37637449,1,66684
45552,1775523.30544491,1043531.37637449,2,72573
46403,1733715.1624985,1113807.67809397,1,67921
46403,1733715.1624985,1113807.67809397,2,80067
46470,1775632.92133449,1069400.08267914,1,73729
46470,1775632.92133449,1069400.08267914,2,68015
46866,1746382.81834681,1104188.30799521,1,68600
46866,1746382.81834681,1104188.30799521,2,80065
46866,1746382.81834681,1104188.30799521,3,68601
47207,1699993.50028179,975054.678081007,1,69130
47207,1699993.50028179,975054.678081007,2,82251
47209,1714439.72894506,955496.587516391,1,69131
47209,1714439.72894506,955496.587516391,2,65766
47209,1714439.72894506,955496.587516391,3,69132
47237,1740637.52051432,1002438.74446739,1,69174
47237,1740637.52051432,1002438.74446739,2,69710
47237,1740637.52051432,1002438.74446739,3,80831
47596,1741670.06968426,1003533.75327504,1,69701
47596,1741670.06968426,1003533.75327504,2,69700
47596,1741670.06968426,1003533.75327504,3,65787
47597,1741785.63005824,1003811.73444278,1,69702
47597,1741785.63005824,1003811.73444278,2,69701
48599,1753598.52796716,1007172.06482396,1,71275
48599,1753598.52796716,1007172.06482396,2,71274
48599,1753598.52796716,1007172.06482396,3,80224
49310,1756927.27137905,1011059.04234015,1,72365
49310,1756927.27137905,1011059.04234015,2,72364
49310,1756927.27137905,1011059.04234015,3,71275
49450,1776642.17765496,1047868.35061482,1,72572
49450,1776642.17765496,1047868.35061482,2,72571
49450,1776642.17765496,1047868.35061482,3,80316
49451,1775427.10136574,1042927.46071866,1,72573
49451,1775427.10136574,1042927.46071866,2,72571
49451,1775427.10136574,1042927.46071866,3,80437
49683,1701615.66902519,917400.850900945,1,72935
49683,1701615.66902519,917400.850900945,2,72934
49683,1701615.66902519,917400.850900945,3,80054
49684,1701892.79484895,919038.567611553,1,72937
49684,1701892.79484895,919038.567611553,2,72935
49685,1709555.26832561,935942.011370092,1,72936
49685,1709555.26832561,935942.011370092,2,69938
49685,1709555.26832561,935942.011370092,3,81180
50112,1777641.38751942,1053141.63198179,1,73601
50112,1777641.38751942,1053141.63198179,2,80805
50112,1777641.38751942,1053141.63198179,3,73603
50114,1776468.23381833,1055312.20911406,1,73604
50114,1776468.23381833,1055312.20911406,2,73603
50148,1743703.8410708,1005909.32146193,1,73657
50148,1743703.8410708,1005909.32146193,2,73655
50148,1743703.8410708,1005909.32146193,3,80834
50149,1750099.74301392,1006475.55799207,1,73656
50149,1750099.74301392,1006475.55799207,2,69699
50149,1750099.74301392,1006475.55799207,3,80217
50195,1778282.03627275,1061470.27320795,1,73728
50195,1778282.03627275,1061470.27320795,2,73604
50195,1778282.03627275,1061470.27320795,3,73730
50196,1775883.70876286,1068114.15683417,1,73731
50196,1775883.70876286,1068114.15683417,2,80647
50196,1775883.70876286,1068114.15683417,3,73729
50197,1775554.32707985,1074479.70964644,1,73731
50197,1775554.32707985,1074479.70964644,2,68015
50197,1775554.32707985,1074479.70964644,3,73733
50199,1762766.06625267,1082022.64315121,1,73734
50199,1762766.06625267,1082022.64315121,2,80650
50199,1762766.06625267,1082022.64315121,3,73774
50214,1751371.61267881,1006519.9464576,1,73758
50214,1751371.61267881,1006519.9464576,2,73757
50214,1751371.61267881,1006519.9464576,3,80221
50225,1753092.45007601,1091701.96312242,1,73776
50225,1753092.45007601,1091701.96312242,2,73774
50226,1753007.80518536,1097431.66222911,1,73766
50226,1753007.80518536,1097431.66222911,2,80320
50226,1753007.80518536,1097431.66222911,3,73775
50371,1761439.9861885,1013683.73318033,1,73995
50371,1761439.9861885,1013683.73318033,2,73993
50371,1761439.9861885,1013683.73318033,3,82432
50372,1770761.65328666,1036648.54474397,1,73994
50372,1770761.65328666,1036648.54474397,2,72574
50372,1770761.65328666,1036648.54474397,3,82063
50373,1761484.74192994,1013695.89463282,1,73998
50373,1761484.74192994,1013695.89463282,2,73995
50375,1729778.74249773,998142.498403821,1,73999
50375,1729778.74249773,998142.498403821,2,69714
50375,1729778.74249773,998142.498403821,3,80687
50376,1703266.72381165,984408.303550598,1,74000
50376,1703266.72381165,984408.303550598,2,69130
50376,1703266.72381165,984408.303550598,3,74001
50377,1703267.23325097,984434.31773086,1,74002
50377,1703267.23325097,984434.31773086,2,74001
50377,1703267.23325097,984434.31773086,3,82255
51038,1690601.64504209,906820.243942925,1,75040
51038,1690601.64504209,906820.243942925,2,71825
51038,1690601.64504209,906820.243942925,3,82235
51039,1680202.82120786,883012.684058037,1,75041
51039,1680202.82120786,883012.684058037,2,80108
51039,1680202.82120786,883012.684058037,3,75042
51040,1677426.77550143,896860.65058058,1,75046
51040,1677426.77550143,896860.65058058,2,80366
51047,1679269.78122696,878314.64493439,1,75052
51047,1679269.78122696,878314.64493439,2,65767
51047,1679269.78122696,878314.64493439,3,81252
54348,1338240.8785627,1018064.12643883,1,79870
54348,1338240.8785627,1018064.12643883,2,80245
54349,1494303.95900273,986947.541487367,1,79871
54349,1494303.95900273,986947.541487367,2,79876
54349,1494303.95900273,986947.541487367,3,80734
54350,1684203.14415992,1147889.59849809,1,79872
54350,1684203.14415992,1147889.59849809,2,79963
54350,1684203.14415992,1147889.59849809,3,81283
54351,1663577.8275215,1017942.7005557,1,81051
54351,1663577.8275215,1017942.7005557,2,79873
54352,1516000.48701051,946497.696194041,1,79874
54352,1516000.48701051,946497.696194041,2,81064
54353,1740973.09682273,1011390.45191181,1,80944
54353,1740973.09682273,1011390.45191181,2,79875
54354,1493911.56283777,984693.324315851,1,79877
54354,1493911.56283777,984693.324315851,2,80266
54354,1493911.56283777,984693.324315851,3,80733
54355,1494443.09542004,984716.325470253,1,79878
54355,1494443.09542004,984716.325470253,2,79877
54355,1494443.09542004,984716.325470253,3,79876
54356,1496678.87975716,984573.62461299,1,79879
54356,1496678.87975716,984573.62461299,2,79878
54356,1496678.87975716,984573.62461299,3,79871
54357,1593956.50579194,1109927.7212306,1,80662
54357,1593956.50579194,1109927.7212306,2,79880
54357,1593956.50579194,1109927.7212306,3,80909
54358,1733121.97754604,1117279.98675512,1,79881
54358,1733121.97754604,1117279.98675512,2,79908
54359,1496512.9380215,1013191.52588246,1,80037
54359,1496512.9380215,1013191.52588246,2,79882
54360,1297053.38332743,976232.821415339,1,79883
54360,1297053.38332743,976232.821415339,2,123624
54360,1297053.38332743,976232.821415339,3,80198
54361,1647854.91852214,1054267.67839739,1,80790
54361,1647854.91852214,1054267.67839739,2,80666
54361,1647854.91852214,1054267.67839739,3,79884
54362,1597727.63932317,1106674.52715238,1,79885
54362,1597727.63932317,1106674.52715238,2,80597
54362,1597727.63932317,1106674.52715238,3,80504
54363,1364862.62875426,1141643.55525576,1,79886
54363,1364862.62875426,1141643.55525576,2,80004
54364,1731085.33423832,1114734.27458609,1,79887
54364,1731085.33423832,1114734.27458609,2,80617
54364,1731085.33423832,1114734.27458609,3,79906
54365,1254301.24492511,1117678.67222406,1,79888
54365,1254301.24492511,1117678.67222406,2,79953
54366,1676500.87980869,1074600.5572066,1,80965
54366,1676500.87980869,1074600.5572066,2,79889
54367,1687500.75824563,1082871.87911861,1,79890
54367,1687500.75824563,1082871.87911861,2,81559
54368,1491917.93309538,1008378.37089669,1,79891
54368,1491917.93309538,1008378.37089669,2,81084
54368,1491917.93309538,1008378.37089669,3,81070
54369,1478608.90908129,1009440.11243933,1,79892
54369,1478608.90908129,1009440.11243933,2,81099
54369,1478608.90908129,1009440.11243933,3,82368
54370,1741898.26950925,1007896.96374217,1,80209
54370,1741898.26950925,1007896.96374217,2,79893
54371,1280265.78352746,1169809.95747115,1,79894
54371,1280265.78352746,1169809.95747115,2,80236
54371,1280265.78352746,1169809.95747115,3,80243
54372,1592311.65150046,1112320.93519831,1,79895
54372,1592311.65150046,1112320.93519831,2,80904
54373,1484931.6936768,1016841.5880743,1,79896
54373,1484931.6936768,1016841.5880743,2,80641
54373,1484931.6936768,1016841.5880743,3,82358
54374,1485162.56861551,1014399.93288975,1,79898
54374,1485162.56861551,1014399.93288975,2,80575
54374,1485162.56861551,1014399.93288975,3,80590
54374,1485162.56861551,1014399.93288975,4,80642
54375,1486514.8303385,1014403.43519671,1,80170
54375,1486514.8303385,1014403.43519671,2,79899
54375,1486514.8303385,1014403.43519671,3,79898
54375,1486514.8303385,1014403.43519671,4,79897
54376,1696671.45430278,923956.318508105,1,79903
54376,1696671.45430278,923956.318508105,2,79901
54377,1703222.38928962,922275.173243392,1,79902
54377,1703222.38928962,922275.173243392,2,82522
54377,1703222.38928962,922275.173243392,3,79900
54378,1702283.40705308,919974.375992622,1,79902
54378,1702283.40705308,919974.375992622,2,72937
54378,1702283.40705308,919974.375992622,3,79903
54379,1308077.29766226,1193167.98780834,1,79904
54379,1308077.29766226,1193167.98780834,2,79943
54379,1308077.29766226,1193167.98780834,3,80135
54380,1732383.79070118,1114918.52538195,1,79905
54380,1732383.79070118,1114918.52538195,2,79887
54380,1732383.79070118,1114918.52538195,3,80024
54381,1730990.8710672,1115544.22401841,1,79907
54381,1730990.8710672,1115544.22401841,2,79906
54381,1730990.8710672,1115544.22401841,3,80026
54382,1731233.3711754,1118558.38972832,1,79909
54382,1731233.3711754,1118558.38972832,2,79966
54383,1732899.35441351,1116951.20862628,1,79908
54383,1732899.35441351,1116951.20862628,2,79910
54383,1732899.35441351,1116951.20862628,3,80931
54384,1733279.30504287,1116745.01823007,1,81451
54384,1733279.30504287,1116745.01823007,2,79911
54384,1733279.30504287,1116745.01823007,3,79910
54385,1727844.76940061,1114867.4847242,1,79912
54385,1727844.76940061,1114867.4847242,2,80048
54386,1644634.95085702,1053846.83286541,1,80368
54386,1644634.95085702,1053846.83286541,2,79913
54387,1514370.51077053,981671.707714193,1,80264
54387,1514370.51077053,981671.707714193,2,80741
54387,1514370.51077053,981671.707714193,3,79914
54388,1435975.77333019,950146.538173869,1,82053
54388,1435975.77333019,950146.538173869,2,79915
54389,1684645.62947587,1071047.14474086,1,79916
54389,1684645.62947587,1071047.14474086,2,82224
54389,1684645.62947587,1071047.14474086,3,79918
54390,1682039.93528899,1069970.88755678,1,79918
54390,1682039.93528899,1069970.88755678,2,79917
54390,1682039.93528899,1069970.88755678,3,79916
54391,1351007.69311673,946212.01701621,1,79919
54391,1351007.69311673,946212.01701621,2,80147
54392,1594000.59490246,1108315.10835877,1,79920
54392,1594000.59490246,1108315.10835877,2,80599
54392,1594000.59490246,1108315.10835877,3,80989
54392,1594000.59490246,1108315.10835877,4,80910
54393,1618626.08870003,1063777.48058726,1,80774
54393,1618626.08870003,1063777.48058726,2,79921
54394,1485197.98431767,1058507.76203869,1,79922
54394,1485197.98431767,1058507.76203869,2,79979
54395,1745502.75157591,1008286.28215349,1,80404
54395,1745502.75157591,1008286.28215349,2,79924
54396,1746955.85647591,1007225.32241008,1,79923
54396,1746955.85647591,1007225.32241008,2,79925
54396,1746955.85647591,1007225.32241008,3,82444
54397,1745795.04711475,1006991.49714963,1,79925
54397,1745795.04711475,1006991.49714963,2,80866
54397,1745795.04711475,1006991.49714963,3,79926
54398,1487437.09617534,1057347.20830559,1,79927
54398,1487437.09617534,1057347.20830559,2,79927
54399,1570547.72422054,984034.308298686,1,79928
54399,1570547.72422054,984034.308298686,2,81022
54400,1437985.25922415,991658.374130109,1,81635
54400,1437985.25922415,991658.374130109,2,79930
54401,1456829.06454143,962002.910871221,1,80852
54401,1456829.06454143,962002.910871221,2,79929
54401,1456829.06454143,962002.910871221,3,79931
54402,1437733.47274683,962186.07228581,1,79931
54402,1437733.47274683,962186.07228581,2,81697
54402,1437733.47274683,962186.07228581,3,79932
54403,1475747.28572277,1004906.98839204,1,80606
54403,1475747.28572277,1004906.98839204,2,81527
54403,1475747.28572277,1004906.98839204,3,79933
54404,1741876.97106403,1009201.85276371,1,79939
54404,1741876.97106403,1009201.85276371,2,80943
54404,1741876.97106403,1009201.85276371,3,79935
54405,1741843.54713467,1010820.97376209,1,79937
54405,1741843.54713467,1010820.97376209,2,79935
54405,1741843.54713467,1010820.97376209,3,79934
54405,1741843.54713467,1010820.97376209,4,80847
54406,1742691.83140206,1008828.28662898,1,80336
54406,1742691.83140206,1008828.28662898,2,79936
54406,1742691.83140206,1008828.28662898,3,79938
54406,1742691.83140206,1008828.28662898,4,80872
54407,1741886.92873737,1008799.62763438,1,79938
54407,1741886.92873737,1008799.62763438,2,79893
54407,1741886.92873737,1008799.62763438,3,79939
54408,1739545.63158215,1006089.7004125,1,79940
54408,1739545.63158215,1006089.7004125,2,81304
54408,1739545.63158215,1006089.7004125,3,80844
54409,1307666.47038363,1172162.56085376,1,79941
54409,1307666.47038363,1172162.56085376,2,79942
54409,1307666.47038363,1172162.56085376,3,79944
54410,1293264.92481048,1172687.14938901,1,79942
54410,1293264.92481048,1172687.14938901,2,80441
54410,1293264.92481048,1172687.14938901,3,79945
54411,1307940.94896109,1185057.72910755,1,79904
54411,1307940.94896109,1185057.72910755,2,79944
54411,1307940.94896109,1185057.72910755,3,79943
54412,1289071.44307234,1198453.81894681,1,79946
54412,1289071.44307234,1198453.81894681,2,80442
54412,1289071.44307234,1198453.81894681,3,80432
54412,1289071.44307234,1198453.81894681,4,80136
54413,1258337.28236754,1114359.73188635,1,79947
54413,1258337.28236754,1114359.73188635,2,79955
54413,1258337.28236754,1114359.73188635,3,80233
54414,1441025.32395521,1116514.77033407,1,79948
54414,1441025.32395521,1116514.77033407,2,80285
54415,1444284.31309331,1113595.29250301,1,80749
54415,1444284.31309331,1113595.29250301,2,79951
54415,1444284.31309331,1113595.29250301,3,79949
54416,1442881.0942057,1112196.84494623,1,79949
54416,1442881.0942057,1112196.84494623,2,80748
54416,1442881.0942057,1112196.84494623,3,79950
54417,1748355.10681903,1011081.73688104,1,79952
54417,1748355.10681903,1011081.73688104,2,80228
54417,1748355.10681903,1011081.73688104,3,80717
54418,1255292.22832198,1114886.71397938,1,79954
54418,1255292.22832198,1114886.71397938,2,124575
54419,1255670.98199022,1115766.09754766,1,79954
54419,1255670.98199022,1115766.09754766,2,79953
54419,1255670.98199022,1115766.09754766,3,79957
54420,1258333.16805914,1114194.23540354,1,123517
54420,1258333.16805914,1114194.23540354,2,79956
54420,1258333.16805914,1114194.23540354,3,79955
54421,1255617.88341422,1117638.22587271,1,79958
54421,1255617.88341422,1117638.22587271,2,79957
54421,1255617.88341422,1117638.22587271,3,81617
54422,1265575.78828485,1111759.69364677,1,79959
54422,1265575.78828485,1111759.69364677,2,81443
54423,1487792.53554379,1012790.80231994,1,79960
54423,1487792.53554379,1012790.80231994,2,80303
54423,1487792.53554379,1012790.80231994,3,80306
54424,1302521.52528597,975762.478176104,1,79961
54424,1302521.52528597,975762.478176104,2,80400
54425,1304984.57533746,972721.22288976,1,79962
54425,1304984.57533746,972721.22288976,2,81108
54426,1703267.79253671,1138486.51310785,1,79964
54426,1703267.79253671,1138486.51310785,2,79963
54426,1703267.79253671,1138486.51310785,3,230329
54427,1673911.0664075,1129711.88060256,1,82066
54427,1673911.0664075,1129711.88060256,2,79965
54428,1724434.02645317,1118048.15116922,1,79967
54428,1724434.02645317,1118048.15116922,2,80812
54429,1731112.46314717,1118511.35198414,1,79966
54429,1731112.46314717,1118511.35198414,2,79968
54429,1731112.46314717,1118511.35198414,3,82115
54430,1732413.60321723,1116460.25260661,1,80023
54430,1732413.60321723,1116460.25260661,2,79970
54430,1732413.60321723,1116460.25260661,3,79968
54431,1728372.5815611,1116187.57538254,1,80022
54431,1728372.5815611,1116187.57538254,2,79969
54431,1728372.5815611,1116187.57538254,3,79971
54432,1727985.14346265,1116398.00741694,1,79971
54432,1727985.14346265,1116398.00741694,2,79912
54432,1727985.14346265,1116398.00741694,3,79972
54433,1489507.65726819,1002948.64585766,1,79973
54433,1489507.65726819,1002948.64585766,2,81937
54433,1489507.65726819,1002948.64585766,3,81327
54433,1489507.65726819,1002948.64585766,4,80374
54434,1299178.36177429,977089.902675912,1,80710
54434,1299178.36177429,977089.902675912,2,79975
54434,1299178.36177429,977089.902675912,3,79976
54435,1299159.97145484,976402.859551008,1,81332
54435,1299159.97145484,976402.859551008,2,79974
54435,1299159.97145484,976402.859551008,3,79883
54435,1299159.97145484,976402.859551008,4,79976
54436,1488412.42710724,1060599.12884676,1,79977
54436,1488412.42710724,1060599.12884676,2,80557
54436,1488412.42710724,1060599.12884676,3,80559
54437,1493413.33030834,1011709.62280022,1,79978
54437,1493413.33030834,1011709.62280022,2,80822
54438,1483539.57540379,1058086.60299933,1,79980
54438,1483539.57540379,1058086.60299933,2,81783
54438,1483539.57540379,1058086.60299933,3,81933
54439,1485199.7997678,1058112.88697834,1,79981
54439,1485199.7997678,1058112.88697834,2,79980
54439,1485199.7997678,1058112.88697834,3,79979
54440,1486818.89805958,1058077.88429283,1,81115
54440,1486818.89805958,1058077.88429283,2,79982
54440,1486818.89805958,1058077.88429283,3,79981
54441,1488487.37750551,1056534.00123264,1,79983
54441,1488487.37750551,1056534.00123264,2,82457
54442,1499843.71587364,1058103.57749308,1,79984
54442,1499843.71587364,1058103.57749308,2,80981
54442,1499843.71587364,1058103.57749308,3,79986
54443,1507813.51966882,1058053.84213838,1,79985
54443,1507813.51966882,1058053.84213838,2,79984
54443,1507813.51966882,1058053.84213838,3,80722
54444,1499835.79519591,1059390.37726679,1,79987
54444,1499835.79519591,1059390.37726679,2,79986
54445,1495192.54651584,923612.000978671,1,82099
54445,1495192.54651584,923612.000978671,2,79988
54446,1577414.79556506,1138682.84474798,1,81519
54446,1577414.79556506,1138682.84474798,2,80007
54446,1577414.79556506,1138682.84474798,3,79989
54447,1577231.46231658,1156730.58625354,1,79991
54447,1577231.46231658,1156730.58625354,2,79993
54447,1577231.46231658,1156730.58625354,3,81344
54447,1577231.46231658,1156730.58625354,4,82039
54448,1606514.10973591,1137388.43027874,1,79995
54448,1606514.10973591,1137388.43027874,2,79990
54448,1606514.10973591,1137388.43027874,3,79992
54449,1577326.00549992,1146862.15539319,1,79992
54449,1577326.00549992,1146862.15539319,2,79989
54449,1577326.00549992,1146862.15539319,3,79993
54450,1445042.77726153,1071754.37269869,1,81189
54450,1445042.77726153,1071754.37269869,2,79994
54451,1616146.97683826,1137571.46270217,1,79997
54451,1616146.97683826,1137571.46270217,2,79995
54451,1616146.97683826,1137571.46270217,3,80078
54452,1589571.47880383,1137220.68121427,1,79990
54452,1589571.47880383,1137220.68121427,2,79998
54452,1589571.47880383,1137220.68121427,3,79996
54453,1577437.33416031,1134023.49861285,1,79999
54453,1577437.33416031,1134023.49861285,2,81761
54453,1577437.33416031,1134023.49861285,3,81520
54454,1589603.99025703,1135543.74470682,1,80000
54454,1589603.99025703,1135543.74470682,2,80603
54454,1589603.99025703,1135543.74470682,3,79998
54455,1596957.99176906,1127553.59282648,1,80479
54455,1596957.99176906,1127553.59282648,2,81769
54455,1596957.99176906,1127553.59282648,3,80001
54455,1596957.99176906,1127553.59282648,4,80000
54456,1631186.74960506,1110170.72997554,1,80002
54456,1631186.74960506,1110170.72997554,2,81957
54456,1631186.74960506,1110170.72997554,3,81458
54457,1373405.03193981,987621.223020887,1,80003
54457,1373405.03193981,987621.223020887,2,80012
54458,1345180.42681036,1129222.19865516,1,81796
54458,1345180.42681036,1129222.19865516,2,80005
54459,1364828.45105886,1140032.22598553,1,80173
54459,1364828.45105886,1140032.22598553,2,80006
54459,1364828.45105886,1140032.22598553,3,80342
54459,1364828.45105886,1140032.22598553,4,80004
54460,1550046.95519684,1135173.62310103,1,80008
54460,1550046.95519684,1135173.62310103,2,80009
54460,1550046.95519684,1135173.62310103,3,81343
54461,1550113.58049227,1128723.26542217,1,80993
54461,1550113.58049227,1128723.26542217,2,80010
54461,1550113.58049227,1128723.26542217,3,80009
54462,1538845.22402366,1118109.04301074,1,80088
54462,1538845.22402366,1118109.04301074,2,80011
54463,1373397.16133309,987228.289189684,1,80017
54463,1373397.16133309,987228.289189684,2,80013
54463,1373397.16133309,987228.289189684,3,80012
54464,1368657.54637212,988131.43204517,1,80015
54464,1368657.54637212,988131.43204517,2,80019
54465,1374319.42022209,993177.799242141,1,80014
54465,1374319.42022209,993177.799242141,2,80003
54465,1374319.42022209,993177.799242141,3,81986
54466,1384098.40218263,1065208.08640579,1,80016
54466,1384098.40218263,1065208.08640579,2,81971
54467,1375812.02217899,987190.91782278,1,80018
54467,1375812.02217899,987190.91782278,2,80017
54467,1375812.02217899,987190.91782278,3,80014
54468,1368415.41875619,981732.856387167,1,80020
54468,1368415.41875619,981732.856387167,2,80150
54469,1369257.12851968,984107.19503463,1,80013
54469,1369257.12851968,984107.19503463,2,80020
54469,1369257.12851968,984107.19503463,3,80019
54470,1524307.30084821,1178337.07179651,1,80355
54470,1524307.30084821,1178337.07179651,2,80021
54471,1730515.76204425,1116744.51659051,1,79970
54471,1730515.76204425,1116744.51659051,2,80027
54471,1730515.76204425,1116744.51659051,3,81169
54471,1730515.76204425,1116744.51659051,4,80022
54472,1732611.65912606,1115947.86177861,1,79911
54472,1732611.65912606,1115947.86177861,2,80025
54472,1732611.65912606,1115947.86177861,3,80023
54473,1732266.09371846,1115799.03675555,1,80025
54473,1732266.09371846,1115799.03675555,2,80024
54473,1732266.09371846,1115799.03675555,3,79907
54474,1730425.23419393,1115619.78849977,1,80027
54474,1730425.23419393,1115619.78849977,2,80026
54474,1730425.23419393,1115619.78849977,3,80619
54475,1500152.64015815,1162876.8952698,1,80094
54475,1500152.64015815,1162876.8952698,2,80029
54476,1538776.23610604,1156456.01174082,1,80028
54476,1538776.23610604,1156456.01174082,2,80011
54476,1538776.23610604,1156456.01174082,3,80030
54476,1538776.23610604,1156456.01174082,4,81353
54477,1596426.44449511,1157044.35696166,1,80034
54477,1596426.44449511,1157044.35696166,2,80032
54478,1615823.82261821,1157259.2612761,1,80031
54478,1615823.82261821,1157259.2612761,2,80033
54478,1615823.82261821,1157259.2612761,3,80075
54479,1596357.34090251,1156963.40238016,1,80034
54479,1596357.34090251,1156963.40238016,2,80033
54479,1596357.34090251,1156963.40238016,3,79991
54480,1475234.14509442,946399.05451364,1,80035
54480,1475234.14509442,946399.05451364,2,82047
54481,1346044.38577692,1169510.88274793,1,80376
54481,1346044.38577692,1169510.88274793,2,80036
54482,1496505.39999649,1012782.20607538,1,80362
54482,1496505.39999649,1012782.20607538,2,80039
54482,1496505.39999649,1012782.20607538,3,80037
54483,1494902.80844017,1012263.78051187,1,80039
54483,1494902.80844017,1012263.78051187,2,80500
54483,1494902.80844017,1012263.78051187,3,80038
54483,1494902.80844017,1012263.78051187,4,80040
54484,1494893.67525196,1013579.95421578,1,80040
54484,1494893.67525196,1013579.95421578,2,80807
54484,1494893.67525196,1013579.95421578,3,80042
54485,1496508.11720562,1014396.2822994,1,80041
54485,1496508.11720562,1014396.2822994,2,79882
54485,1496508.11720562,1014396.2822994,3,80387
54486,1651809.49736765,1054392.92188597,1,80043
54486,1651809.49736765,1054392.92188597,2,81413
54486,1651809.49736765,1054392.92188597,3,80564
54487,1743367.81699943,1040707.08125263,1,82071
54487,1743367.81699943,1040707.08125263,2,80044
54488,1339034.06396505,1048626.81613655,1,80045
54488,1339034.06396505,1048626.81613655,2,80248
54489,1462593.60096286,1040453.356349,1,80046
54489,1462593.60096286,1040453.356349,2,81481
54489,1462593.60096286,1040453.356349,3,81956
54490,1468871.56702297,1012345.79087705,1,80047
54490,1468871.56702297,1012345.79087705,2,81289
54491,1727041.95672529,1112638.13195293,1,80049
54491,1727041.95672529,1112638.13195293,2,80068
54492,1727987.54353984,1113865.04515063,1,80050
54492,1727987.54353984,1113865.04515063,2,80061
54492,1727987.54353984,1113865.04515063,3,80048
54493,1728927.4367589,1113979.42368916,1,80616
54493,1728927.4367589,1113979.42368916,2,80051
54493,1728927.4367589,1113979.42368916,3,80050
54494,1456365.91899302,902796.828109349,1,81822
54494,1456365.91899302,902796.828109349,2,80052
54495,1679330.20950594,937994.463343165,1,80058
54495,1679330.20950594,937994.463343165,2,80053
54496,1701877.56975988,913564.074248573,1,66601
54496,1701877.56975988,913564.074248573,2,80059
54496,1701877.56975988,913564.074248573,3,80054
54497,1693142.71766111,927825.278326692,1,80621
54497,1693142.71766111,927825.278326692,2,80057
54497,1693142.71766111,927825.278326692,3,80055
54498,1696662.53435379,924610.936911943,1,80056
54498,1696662.53435379,924610.936911943,2,79901
54498,1696662.53435379,924610.936911943,3,80057
54499,1679362.00386808,936597.881289082,1,80055
54499,1679362.00386808,936597.881289082,2,80060
54499,1679362.00386808,936597.881289082,3,80058
54500,1676460.0661869,925828.115499742,1,80060
54500,1676460.0661869,925828.115499742,2,81205
54500,1676460.0661869,925828.115499742,3,81853
54501,1727487.12741895,1113717.05179956,1,80061
54501,1727487.12741895,1113717.05179956,2,80049
54501,1727487.12741895,1113717.05179956,3,80063
54502,1726678.70944449,1116474.81678812,1,79972
54502,1726678.70944449,1116474.81678812,2,80810
54502,1726678.70944449,1116474.81678812,3,80062
54503,1388529.73261657,1213454.66350689,1,80064
54503,1388529.73261657,1213454.66350689,2,82150
54504,1749155.24036059,1102368.77389259,1,73775
54504,1749155.24036059,1102368.77389259,2,80066
54504,1749155.24036059,1102368.77389259,3,80065
54505,1723589.58263228,1107728.82552262,1,80322
54505,1723589.58263228,1107728.82552262,2,80069
54506,1735076.76216587,1111555.15768517,1,68601
54506,1735076.76216587,1111555.15768517,2,81002
54506,1735076.76216587,1111555.15768517,3,80067
54507,1729311.42221363,1111660.42213739,1,80070
54507,1729311.42221363,1111660.42213739,2,80072
54507,1729311.42221363,1111660.42213739,3,80068
54508,1731325.09370976,1111418.42971541,1,81003
54508,1731325.09370976,1111418.42971541,2,80071
54508,1731325.09370976,1111418.42971541,3,80070
54509,1714100.4590657,1106129.68640823,1,81537
54509,1714100.4590657,1106129.68640823,2,80073
54510,1723622.77366772,1108452.48702921,1,80072
54510,1723622.77366772,1108452.48702921,2,80069
54510,1723622.77366772,1108452.48702921,3,80074
54510,1723622.77366772,1108452.48702921,4,82124
54511,1615530.55944276,1176784.32291222,1,80081
54511,1615530.55944276,1176784.32291222,2,80075
54511,1615530.55944276,1176784.32291222,3,81843
54512,1615928.03777925,1149864.60080657,1,80080
54512,1615928.03777925,1149864.60080657,2,80077
54513,1615870.37155191,1153886.23686651,1,80077
54513,1615870.37155191,1153886.23686651,2,80076
54513,1615870.37155191,1153886.23686651,3,80031
54514,1615989.10056688,1147419.32717908,1,82127
54514,1615989.10056688,1147419.32717908,2,80078
54514,1615989.10056688,1147419.32717908,3,80079
54515,1615937.80705028,1149033.73969291,1,80079
54515,1615937.80705028,1149033.73969291,2,80992
54515,1615937.80705028,1149033.73969291,3,80080
54516,1634838.79824049,1177037.72405545,1,80083
54516,1634838.79824049,1177037.72405545,2,80085
54517,1636757.03804582,1165614.43216997,1,80531
54517,1636757.03804582,1165614.43216997,2,80082
54517,1636757.03804582,1165614.43216997,3,80084
54518,1634819.82863363,1177037.35244865,1,80085
54518,1634819.82863363,1177037.35244865,2,80084
54518,1634819.82863363,1177037.35244865,3,80081
54518,1634819.82863363,1177037.35244865,4,80290
54519,1556031.01442372,1190494.35109901,1,80086
54519,1556031.01442372,1190494.35109901,2,82151
54519,1556031.01442372,1190494.35109901,3,81079
54520,1562534.5442688,1173571.86600673,1,80087
54520,1562534.5442688,1173571.86600673,2,82155
54521,1522065.46107438,1101326.98755179,1,81145
54521,1522065.46107438,1101326.98755179,2,80089
54522,1538842.66482509,1117495.0893772,1,80994
