rn,state,cid,tract,pop,white,black,hispanic,total_vap,black_vap,hispanic_vap
0,29,1,950100,3685.0,3619.0,0.0,8.0,2706,0,8
1,29,1,950200,2860.0,2744.0,0.0,43.0,2305,0,34
2,29,1,950300,3007.0,2783.0,103.0,79.0,2628,87,79
3,29,1,950400,3872.0,3538.0,96.0,27.0,2853,92,27
4,29,1,950500,7416.0,6874.0,168.0,297.0,5907,81,155
5,29,1,950900,2329.0,2207.0,30.0,122.0,2094,23,122
6,29,1,951000,2391.0,2141.0,131.0,37.0,2379,126,37
7,29,3,10100,5675.0,5356.0,156.0,218.0,4271,92,126
8,29,3,10200,6758.0,6643.0,47.0,125.0,5207,43,86
9,29,3,10300,1928.0,1846.0,27.0,10.0,1460,2,6
10,29,3,10400,2967.0,2879.0,0.0,18.0,2408,0,18
11,29,5,950100,3027.0,2955.0,14.0,27.0,2461,13,18
12,29,5,950200,2413.0,2370.0,2.0,42.0,1902,1,21
13,29,7,950100,4429.0,3633.0,584.0,76.0,3632,461,47
14,29,7,950200,4369.0,4183.0,32.0,118.0,3488,32,72
15,29,7,950300,3771.0,3651.0,84.0,0.0,2672,84,0
16,29,7,950400,2896.0,2567.0,129.0,104.0,2205,101,65
17,29,7,950500,3437.0,3075.0,266.0,215.0,2652,266,129
18,29,7,950600,2990.0,2530.0,387.0,13.0,2293,282,13
19,29,7,950700,3891.0,3443.0,211.0,192.0,2716,184,64
20,29,9,960100,5931.0,5838.0,0.0,0.0,4760,0,0
21,29,9,960200,6833.0,6149.0,16.0,885.0,5273,16,523
22,29,9,960300,6050.0,5079.0,2.0,1290.0,4500,2,813
23,29,9,960401,4226.0,4024.0,2.0,76.0,3236,2,58
24,29,9,960402,3289.0,2989.0,0.0,295.0,2454,0,175
25,29,9,960500,6316.0,5938.0,40.0,453.0,4521,40,197
26,29,9,960600,3081.0,2986.0,3.0,32.0,2728,3,22
27,29,11,960100,2739.0,2520.0,15.0,187.0,2033,15,107
28,29,11,960200,3754.0,3557.0,0.0,14.0,2801,0,6
29,29,11,960300,5673.0,5392.0,18.0,88.0,4282,11,43
30,29,13,70100,5212.0,4973.0,13.0,99.0,3994,13,39
31,29,13,70200,4046.0,3832.0,0.0,155.0,3137,0,97
32,29,13,70300,4561.0,4351.0,72.0,93.0,3399,65,52
33,29,13,70400,2824.0,2732.0,0.0,2.0,2068,0,0
34,29,15,460100,3627.0,3610.0,0.0,145.0,2767,0,87
35,29,15,460200,2486.0,2440.0,8.0,43.0,1895,8,24
36,29,15,460300,4514.0,4409.0,45.0,118.0,3702,45,81
37,29,15,460400,1791.0,1730.0,0.0,0.0,1691,0,0
38,29,15,460700,2623.0,2501.0,0.0,0.0,2347,0,0
39,29,15,460800,3813.0,3615.0,29.0,27.0,3124,15,27
40,29,17,950100,4698.0,4637.0,11.0,49.0,3875,11,36
41,29,17,950200,4554.0,4369.0,19.0,66.0,3358,19,42
42,29,17,950300,3104.0,3082.0,0.0,0.0,2390,0,0
43,29,19,200,1788.0,1525.0,106.0,119.0,1667,100,85
44,29,19,300,3079.0,2699.0,82.0,93.0,2965,82,91
45,29,19,500,2542.0,1847.0,109.0,82.0,2519,101,82
46,29,19,600,5032.0,4435.0,0.0,360.0,3907,0,196
47,29,19,700,3813.0,2813.0,561.0,296.0,3157,513,184
48,29,19,900,1558.0,1011.0,380.0,123.0,1275,274,69
49,29,19,1001,5192.0,4374.0,273.0,99.0,4692,262,99
50,29,19,1002,5794.0,4561.0,355.0,174.0,4482,229,49
51,29,19,1101,9099.0,6608.0,851.0,307.0,8001,730,281
52,29,19,1103,6989.0,6330.0,221.0,69.0,5857,211,69
53,29,19,1104,11020.0,9063.0,1184.0,235.0,8630,925,104
54,29,19,1201,5955.0,5017.0,340.0,175.0,4199,202,111
55,29,19,1202,5614.0,5049.0,8.0,59.0,4423,0,13
56,29,19,1300,3720.0,2572.0,553.0,160.0,2975,315,128
57,29,19,1400,12157.0,9571.0,1181.0,513.0,8851,759,426
58,29,19,1502,6127.0,4269.0,946.0,309.0,4776,702,107
59,29,19,1503,4198.0,2866.0,882.0,245.0,3097,492,96
60,29,19,1504,9474.0,7027.0,1822.0,444.0,7008,1334,230
61,29,19,1601,8522.0,6487.0,1254.0,228.0,6610,1089,93
62,29,19,1602,3522.0,3174.0,305.0,90.0,2850,242,71
63,29,19,1701,7926.0,7547.0,37.0,5.0,6167,23,5
64,29,19,1702,4612.0,4360.0,59.0,37.0,3575,57,29
65,29,19,1803,4544.0,3996.0,229.0,166.0,3489,143,118
66,29,19,1805,9177.0,7469.0,881.0,331.0,6311,599,178
67,29,19,1901,4688.0,4533.0,65.0,65.0,3630,65,65
68,29,19,1902,8479.0,8150.0,14.0,180.0,6485,6,158
69,29,19,2000,5188.0,5078.0,86.0,53.0,4000,86,53
70,29,19,2100,3802.0,1902.0,1239.0,146.0,2963,838,146
71,29,19,2200,7159.0,5814.0,398.0,279.0,6967,386,279
72,29,21,100,5703.0,5203.0,129.0,553.0,4440,120,408
73,29,21,200,4257.0,4145.0,9.0,130.0,3267,9,103
74,29,21,300,3390.0,3240.0,0.0,211.0,2510,0,121
75,29,21,400,1782.0,1615.0,23.0,84.0,1368,18,59
76,29,21,500,2837.0,2493.0,59.0,205.0,2058,59,112
77,29,21,600,5311.0,4521.0,427.0,324.0,4447,425,224
78,29,21,701,4455.0,3932.0,417.0,87.0,3763,342,87
79,29,21,702,4987.0,3986.0,781.0,147.0,3966,576,97
80,29,21,900,4942.0,4811.0,76.0,291.0,3752,69,150
81,29,21,1000,3008.0,2205.0,576.0,267.0,1983,506,106
82,29,21,1100,2584.0,2262.0,213.0,310.0,1902,154,121
83,29,21,1200,1759.0,1388.0,150.0,52.0,1396,108,38
84,29,21,1500,5267.0,4726.0,169.0,132.0,3734,107,100
85,29,21,1600,2246.0,1860.0,282.0,18.0,1872,255,18
86,29,21,1700,4234.0,3957.0,56.0,347.0,3278,56,187
87,29,21,1800,3161.0,2747.0,196.0,231.0,2469,84,164
88,29,21,2100,2622.0,2098.0,219.0,193.0,2005,219,106
89,29,21,2200,1917.0,1881.0,28.0,58.0,1575,11,35
90,29,21,2300,2697.0,2647.0,10.0,237.0,2023,10,210
91,29,21,2400,2263.0,1876.0,128.0,263.0,1664,83,133
92,29,21,2500,2254.0,2037.0,57.0,258.0,1697,38,99
93,29,21,2700,3314.0,2876.0,90.0,115.0,2484,21,75
94,29,21,2800,5487.0,5208.0,43.0,154.0,4258,41,97
95,29,21,2900,2905.0,2862.0,0.0,44.0,2324,0,31
96,29,21,3000,6179.0,4963.0,542.0,598.0,4659,308,520
97,29,23,950100,5799.0,5663.0,14.0,162.0,4636,14,86
98,29,23,950201,5289.0,4942.0,153.0,64.0,3754,97,64
99,29,23,950202,5420.0,5239.0,0.0,0.0,4203,0,0
100,29,23,950300,6782.0,6479.0,97.0,243.0,5430,97,127
101,29,23,950400,3308.0,2160.0,753.0,59.0,2444,548,27
102,29,23,950500,2867.0,2538.0,183.0,67.0,2142,153,49
103,29,23,950600,4259.0,4084.0,78.0,19.0,3366,78,5
104,29,23,950700,2884.0,2359.0,474.0,11.0,2133,207,11
105,29,23,950800,2768.0,2328.0,388.0,109.0,2150,283,79
106,29,23,950900,3575.0,3165.0,248.0,8.0,2692,162,8
107,29,25,950100,2510.0,2392.0,32.0,35.0,1942,26,27
108,29,25,950200,6573.0,6384.0,37.0,140.0,4936,33,99
109,29,27,70100,4961.0,4706.0,85.0,285.0,3948,84,148
110,29,27,70200,3453.0,3379.0,7.0,8.0,2580,1,8
111,29,27,70300,7512.0,6117.0,848.0,183.0,6364,790,176
112,29,27,70400,5588.0,4827.0,325.0,177.0,4365,316,127
113,29,27,70500,4766.0,4472.0,142.0,58.0,3633,103,58
114,29,27,70600,6740.0,6515.0,68.0,61.0,5070,58,12
115,29,27,70700,6519.0,6156.0,38.0,59.0,5003,38,49
116,29,27,70800,5027.0,4721.0,125.0,20.0,3944,112,20
117,29,29,950100,4111.0,3985.0,68.0,17.0,3162,0,5
118,29,29,950200,6268.0,5798.0,4.0,593.0,5009,4,308
119,29,29,950300,1989.0,1985.0,0.0,0.0,1798,0,0
120,29,29,950400,3746.0,3621.0,11.0,94.0,2993,11,36
121,29,29,950500,3702.0,3454.0,50.0,150.0,2770,49,93
122,29,29,950600,4195.0,4099.0,0.0,41.0,3325,0,31
123,29,29,950700,3711.0,3565.0,24.0,48.0,3361,24,29
124,29,29,950800,7828.0,7603.0,12.0,64.0,6185,8,41
125,29,29,950900,3765.0,3765.0,0.0,49.0,2878,0,47
126,29,29,951100,2325.0,2313.0,0.0,29.0,2162,0,29
127,29,29,951200,2287.0,2188.0,54.0,13.0,2042,54,8
128,29,31,880100,5461.0,5390.0,0.0,190.0,4299,0,146
129,29,31,880200,4007.0,4001.0,0.0,43.0,3031,0,43
130,29,31,880300,4090.0,4009.0,33.0,5.0,3277,33,3
131,29,31,880400,7001.0,6645.0,165.0,238.0,5020,123,106
132,29,31,880500,10208.0,9749.0,135.0,93.0,7458,131,55
133,29,31,880600,6338.0,5865.0,224.0,83.0,4992,116,77
134,29,31,880700,5007.0,4525.0,217.0,126.0,4036,126,96
135,29,31,880800,4342.0,3184.0,611.0,107.0,4001,455,101
136,29,31,880900,2329.0,1295.0,699.0,119.0,1714,346,54
137,29,31,881000,2209.0,1686.0,414.0,44.0,1838,269,39
138,29,31,881100,3797.0,3442.0,233.0,154.0,3180,168,124
139,29,31,881200,6335.0,5983.0,292.0,136.0,5017,202,78
140,29,31,881300,6125.0,5090.0,798.0,66.0,4924,481,52
141,29,31,881400,2492.0,1080.0,1336.0,39.0,1812,849,35
142,29,31,881500,4485.0,4294.0,17.0,167.0,3646,9,65
143,29,31,881600,3380.0,2298.0,760.0,113.0,2595,476,35
144,29,33,960100,2369.0,2334.0,0.0,11.0,1843,0,8
145,29,33,960200,2611.0,2471.0,21.0,7.0,2021,21,7
146,29,33,960300,4116.0,3888.0,90.0,102.0,3091,75,41
147,29,35,960100,3593.0,3469.0,0.0,66.0,2611,0,9
148,29,35,960200,2691.0,2554.0,4.0,54.0,2144,4,14
149,29,37,60001,4078.0,3871.0,75.0,633.0,3240,75,401
150,29,37,60003,3703.0,3082.0,246.0,405.0,2727,175,271
151,29,37,60004,5539.0,5066.0,196.0,683.0,3879,121,373
152,29,37,60100,1511.0,1326.0,128.0,71.0,1108,89,51
153,29,37,60202,5254.0,4889.0,116.0,346.0,3848,76,128
154,29,37,60301,9386.0,7714.0,1171.0,297.0,7164,982,94
155,29,37,60302,7503.0,7156.0,93.0,107.0,5567,93,91
156,29,37,60305,4716.0,4112.0,488.0,146.0,3304,252,116
157,29,37,60400,4721.0,4515.0,126.0,89.0,3854,107,57
158,29,37,60500,2786.0,2710.0,14.0,40.0,2205,14,21
159,29,37,60600,7999.0,7535.0,18.0,383.0,5681,16,187
160,29,37,60700,3563.0,3393.0,28.0,52.0,2695,8,33
161,29,37,60800,5970.0,5889.0,0.0,80.0,4499,0,34
162,29,37,60904,3242.0,3038.0,120.0,2.0,2458,120,2
163,29,37,61001,4801.0,4363.0,151.0,105.0,3754,95,68
164,29,37,61002,7060.0,6682.0,10.0,171.0,5213,4,130
165,29,37,61100,4119.0,4014.0,8.0,47.0,3296,8,43
166,29,37,61200,4129.0,3808.0,121.0,84.0,2925,55,57
167,29,37,61300,5434.0,4621.0,494.0,315.0,3959,285,208
168,29,37,61400,5267.0,5134.0,60.0,182.0,3739,60,128
169,29,39,870100,5637.0,5571.0,2.0,178.0,4389,2,77
170,29,39,870200,4973.0,4661.0,1.0,0.0,3683,1,0
171,29,39,870300,3282.0,3167.0,9.0,14.0,2598,6,14
172,29,41,470100,2266.0,2252.0,7.0,10.0,1742,7,3
173,29,41,470200,2418.0,2264.0,92.0,46.0,1859,78,14
174,29,41,470300,2966.0,2852.0,75.0,6.0,2324,54,6
175,29,43,20101,3273.0,3107.0,62.0,27.0,2518,40,25
176,29,43,20102,5327.0,5179.0,28.0,125.0,3942,0,42
177,29,43,20201,4252.0,4227.0,0.0,26.0,3187,0,26
178,29,43,20202,6802.0,6121.0,108.0,316.0,4927,108,89
179,29,43,20203,6693.0,6228.0,14.0,250.0,4773,14,122
180,29,43,20204,4857.0,4476.0,2.0,344.0,3292,2,150
181,29,43,20205,6302.0,6069.0,4.0,233.0,4433,4,146
182,29,43,20302,5873.0,5654.0,106.0,34.0,4456,106,34
183,29,43,20303,5558.0,5315.0,41.0,185.0,4002,33,115
184,29,43,20304,3296.0,3116.0,15.0,92.0,2489,15,67
185,29,43,20305,6283.0,6048.0,44.0,44.0,4588,44,26
186,29,43,20306,7600.0,7536.0,17.0,370.0,5729,0,321
187,29,43,20400,7435.0,7307.0,23.0,48.0,5779,7,34
188,29,43,20500,7353.0,6990.0,10.0,151.0,5431,3,127
189,29,45,950100,1874.0,1827.0,0.0,0.0,1452,0,0
190,29,45,950200,2351.0,2313.0,11.0,0.0,1787,7,0
191,29,45,950300,2694.0,2620.0,7.0,21.0,2052,7,0
192,29,47,20201,4764.0,3252.0,622.0,280.0,3976,406,201
193,29,47,20202,3706.0,3288.0,40.0,371.0,3034,40,303
194,29,47,20300,6007.0,4429.0,591.0,596.0,4727,437,465
195,29,47,20400,2385.0,1502.0,243.0,342.0,1939,208,230
196,29,47,20500,5584.0,4691.0,441.0,403.0,4099,249,274
197,29,47,20602,4316.0,3527.0,408.0,439.0,3180,351,271
198,29,47,20603,3555.0,3211.0,149.0,375.0,2517,96,251
199,29,47,20604,5118.0,3998.0,215.0,697.0,4068,155,442
200,29,47,20801,6898.0,6086.0,88.0,319.0,5427,88,250
201,29,47,20901,5510.0,4630.0,396.0,446.0,4232,309,257
202,29,47,20902,2364.0,1884.0,252.0,324.0,1682,101,213
203,29,47,21001,3849.0,3218.0,162.0,454.0,3101,118,324
204,29,47,21003,3876.0,3549.0,74.0,235.0,3251,74,152
205,29,47,21004,3410.0,3007.0,214.0,166.0,2645,65,113
206,29,47,21101,4780.0,4387.0,199.0,434.0,3751,124,158
207,29,47,21102,6645.0,6047.0,366.0,414.0,5465,308,328
208,29,47,21103,3646.0,3329.0,100.0,149.0,2742,63,121
209,29,47,21204,4902.0,3734.0,770.0,474.0,3786,631,339
210,29,47,21205,7253.0,6016.0,420.0,422.0,5409,306,180
211,29,47,21206,7035.0,6093.0,242.0,499.0,5562,222,378
212,29,47,21207,3069.0,2390.0,437.0,149.0,2225,254,120
213,29,47,21208,6235.0,4650.0,898.0,561.0,4626,503,320
214,29,47,21303,3477.0,3185.0,152.0,17.0,2328,95,17
215,29,47,21305,7535.0,6399.0,500.0,476.0,5407,308,262
216,29,47,21306,7210.0,6462.0,358.0,665.0,5215,278,377
217,29,47,21307,5902.0,4635.0,641.0,465.0,4140,458,232
218,29,47,21309,4607.0,4125.0,201.0,120.0,2855,168,78
219,29,47,21310,7860.0,6797.0,437.0,501.0,5039,249,240
220,29,47,21401,4959.0,4251.0,485.0,129.0,4003,349,84
221,29,47,21403,2792.0,2562.0,177.0,192.0,2205,119,101
222,29,47,21404,4770.0,4147.0,385.0,197.0,3734,339,167
223,29,47,21600,8406.0,7955.0,122.0,211.0,5924,100,143
224,29,47,21701,5915.0,5499.0,195.0,213.0,4382,83,104
225,29,47,21702,6493.0,5571.0,498.0,176.0,4920,467,144
226,29,47,21803,7950.0,6894.0,213.0,479.0,5197,125,284
227,29,47,21804,6526.0,6424.0,0.0,27.0,4893,0,21
228,29,47,21805,8621.0,8081.0,20.0,392.0,5923,20,134
229,29,47,21806,4078.0,3981.0,0.0,29.0,3129,0,29
230,29,47,21900,6412.0,6033.0,0.0,143.0,4720,0,85
231,29,47,22000,4986.0,4667.0,0.0,289.0,3590,0,175
232,29,47,22100,4441.0,3711.0,277.0,468.0,3891,256,378
233,29,47,22200,3833.0,3381.0,255.0,303.0,2791,78,181
234,29,47,22301,2845.0,2661.0,60.0,102.0,2224,60,83
235,29,47,22302,5836.0,5524.0,139.0,561.0,4463,116,262
236,29,49,960100,5214.0,4976.0,86.0,56.0,3723,73,49
237,29,49,960200,6528.0,6286.0,60.0,124.0,5049,34,99
238,29,49,960300,4430.0,4106.0,137.0,174.0,3422,82,68
239,29,49,960400,4326.0,4153.0,76.0,35.0,3335,62,21
240,29,51,10300,4968.0,3963.0,812.0,39.0,3628,427,39
241,29,51,10400,6352.0,5566.0,523.0,249.0,4805,273,108
242,29,51,10500,5051.0,2849.0,1867.0,182.0,3947,1454,75
243,29,51,10600,3738.0,2542.0,640.0,180.0,2939,441,112
244,29,51,10701,5349.0,4506.0,474.0,224.0,4152,241,167
245,29,51,10702,5461.0,4560.0,573.0,14.0,4321,513,14
246,29,51,10800,8920.0,8066.0,382.0,453.0,7004,313,334
247,29,51,10900,6335.0,5661.0,438.0,10.0,4951,246,0
248,29,51,20198,7442.0,5690.0,1439.0,126.0,6322,1435,118
249,29,51,20200,4181.0,4097.0,23.0,6.0,2955,23,4
250,29,51,20300,3624.0,3525.0,0.0,0.0,2769,0,0
251,29,51,20400,5883.0,4968.0,625.0,290.0,4288,521,159
252,29,51,20500,2642.0,2603.0,0.0,29.0,2031,0,24
253,29,51,20600,4233.0,3822.0,200.0,171.0,3044,104,62
254,29,51,20700,2354.0,1246.0,899.0,71.0,1723,574,29
255,29,53,950100,3137.0,3058.0,7.0,7.0,2322,5,4
256,29,53,950200,3113.0,2219.0,683.0,145.0,2591,655,93
257,29,53,950300,3872.0,3371.0,214.0,68.0,3096,172,38
258,29,53,950400,2551.0,2343.0,134.0,37.0,1968,134,21
259,29,53,950500,4920.0,4723.0,32.0,9.0,3702,30,8
260,29,55,450101,2332.0,2287.0,0.0,65.0,1692,0,29
261,29,55,450102,5749.0,5563.0,28.0,77.0,4490,28,73
262,29,55,450200,4589.0,4406.0,2.0,20.0,3619,2,7
263,29,55,450301,2457.0,2440.0,0.0,61.0,1959,0,28
264,29,55,450302,4452.0,4432.0,4.0,118.0,3115,4,55
265,29,55,450400,5081.0,4953.0,20.0,84.0,3906,20,71
266,29,57,480100,4618.0,4445.0,19.0,125.0,3639,14,64
267,29,57,480200,3000.0,2834.0,18.0,11.0,2341,14,11
268,29,59,480100,4813.0,4429.0,8.0,54.0,3484,8,16
269,29,59,480200,5171.0,4993.0,5.0,101.0,4064,5,67
270,29,59,480300,6580.0,6402.0,0.0,147.0,5089,0,91
271,29,61,470100,3405.0,3291.0,68.0,58.0,2611,63,40
272,29,61,470200,4872.0,4773.0,6.0,52.0,3508,6,31
273,29,63,80100,8788.0,7022.0,1241.0,441.0,7384,1212,249
274,29,63,80200,3994.0,3907.0,2.0,51.0,3227,2,32
275,29,65,960100,4401.0,4273.0,0.0,27.0,3453,0,7
276,29,65,960200,5396.0,5233.0,0.0,101.0,4181,0,67
277,29,65,960300,2513.0,2438.0,62.0,32.0,2008,25,3
278,29,65,960400,3302.0,3117.0,0.0,51.0,2371,0,21
279,29,67,950100,3643.0,3609.0,0.0,0.0,2922,0,0
280,29,67,950200,5312.0,5244.0,0.0,52.0,4225,0,50
281,29,67,950500,4561.0,4444.0,8.0,92.0,3471,8,53
282,29,69,360100,2509.0,1343.0,1014.0,0.0,1794,602,0
283,29,69,360200,2780.0,2261.0,365.0,180.0,2171,263,131
284,29,69,360300,4178.0,4094.0,31.0,34.0,3077,10,7
285,29,69,360400,4567.0,4090.0,232.0,343.0,3302,108,156
286,29,69,360500,2774.0,2145.0,591.0,110.0,2170,423,91
287,29,69,360600,4496.0,3789.0,476.0,250.0,3284,363,78
288,29,69,360700,3697.0,3260.0,312.0,56.0,2817,227,36
289,29,69,360800,2336.0,2066.0,0.0,717.0,1674,0,400
290,29,69,360900,2147.0,1967.0,60.0,83.0,1587,55,32
291,29,69,361000,2078.0,2038.0,0.0,155.0,1519,0,72
292,29,71,800100,9162.0,8757.0,49.0,156.0,6893,27,133
293,29,71,800201,5208.0,4563.0,297.0,209.0,3924,114,116
294,29,71,800202,5777.0,5647.0,0.0,75.0,4452,0,26
295,29,71,800300,7881.0,7438.0,111.0,140.0,5980,99,101
296,29,71,800401,5439.0,5295.0,0.0,260.0,3924,0,156
297,29,71,800402,6539.0,6493.0,0.0,99.0,5134,0,71
298,29,71,800500,7271.0,7210.0,0.0,82.0,5736,0,16
299,29,71,800601,7284.0,7129.0,42.0,92.0,5537,21,28
300,29,71,800602,8258.0,8007.0,44.0,69.0,6145,44,56
301,29,71,800701,7250.0,6879.0,246.0,161.0,5574,205,92
302,29,71,800702,3084.0,2864.0,51.0,83.0,2292,51,66
303,29,71,800800,6933.0,6726.0,125.0,0.0,5444,104,0
304,29,71,800901,3203.0,3052.0,0.0,58.0,2463,0,40
305,29,71,800902,6552.0,6276.0,30.0,0.0,5048,30,0
306,29,71,801000,3782.0,3684.0,0.0,16.0,2828,0,16
307,29,71,801101,4396.0,4220.0,58.0,111.0,3299,14,55
308,29,71,801102,3809.0,3770.0,0.0,12.0,2889,0,12
309,29,73,960100,2740.0,2663.0,47.0,10.0,2243,47,5
310,29,73,960200,1911.0,1884.0,0.0,5.0,1549,0,0
311,29,73,960300,3023.0,2897.0,0.0,23.0,2276,0,1
312,29,73,960400,3033.0,2988.0,11.0,6.0,2306,0,6
313,29,73,960500,4241.0,4180.0,8.0,150.0,3323,0,64
314,29,75,960100,3244.0,3127.0,70.0,8.0,2489,63,8
315,29,75,960200,3541.0,3485.0,2.0,53.0,2659,2,34
316,29,77,100,1636.0,1388.0,153.0,90.0,1605,127,90
317,29,77,200,4432.0,3568.0,389.0,80.0,4383,382,80
318,29,77,300,3039.0,2877.0,8.0,172.0,2680,0,152
319,29,77,400,3945.0,3478.0,236.0,365.0,3149,142,228
320,29,77,501,2385.0,2034.0,121.0,83.0,1606,78,53
321,29,77,502,3626.0,2777.0,435.0,244.0,3051,358,159
322,29,77,600,2656.0,2305.0,266.0,146.0,2019,133,53
323,29,77,700,4379.0,3560.0,579.0,95.0,3872,481,83
324,29,77,800,3226.0,2813.0,237.0,141.0,2898,209,141
325,29,77,900,5100.0,4419.0,171.0,147.0,4402,143,139
326,29,77,1000,2120.0,2040.0,18.0,35.0,1847,18,22
327,29,77,1100,3566.0,3206.0,115.0,62.0,2957,81,46
328,29,77,1200,3920.0,3557.0,170.0,323.0,3208,133,163
329,29,77,1301,2146.0,2104.0,23.0,125.0,1758,23,107
330,29,77,1302,2327.0,2150.0,82.0,165.0,2087,33,149
331,29,77,1400,4741.0,4125.0,121.0,389.0,4207,103,313
332,29,77,1500,5539.0,4540.0,215.0,304.0,4196,193,115
333,29,77,1700,3080.0,2770.0,147.0,195.0,2399,74,139
334,29,77,1800,3197.0,2990.0,132.0,132.0,2630,90,107
335,29,77,1900,3058.0,2756.0,200.0,301.0,2135,134,140
336,29,77,2200,4423.0,3706.0,114.0,359.0,3489,96,201
337,29,77,2300,5458.0,4986.0,18.0,136.0,4284,16,133
338,29,77,2402,3963.0,3507.0,171.0,16.0,3042,109,16
339,29,77,2502,5277.0,4698.0,266.0,97.0,4206,169,97
340,29,77,2600,4773.0,4685.0,31.0,52.0,3910,18,18
341,29,77,2700,2620.0,2153.0,42.0,248.0,2291,42,125
342,29,77,2800,1942.0,1843.0,11.0,237.0,1601,4,118
343,29,77,2900,4072.0,3725.0,87.0,64.0,3380,87,64
344,29,77,3002,5450.0,4342.0,351.0,156.0,4215,178,97
345,29,77,3100,2599.0,2411.0,148.0,6.0,2147,107,6
346,29,77,3200,4258.0,3649.0,186.0,286.0,3181,149,137
347,29,77,3300,4039.0,3460.0,310.0,101.0,2924,132,85
348,29,77,3600,3021.0,2739.0,218.0,31.0,2349,113,31
349,29,77,3700,7273.0,6981.0,28.0,176.0,5991,28,135
350,29,77,3800,7868.0,7504.0,0.0,38.0,5960,0,38
351,29,77,3900,2755.0,2617.0,86.0,31.0,2212,13,21
352,29,77,4001,5092.0,4690.0,130.0,84.0,4517,130,38
353,29,77,4002,3569.0,3216.0,43.0,36.0,2787,43,36
354,29,77,4003,5069.0,4783.0,90.0,78.0,3876,78,42
355,29,77,4101,8282.0,7504.0,218.0,362.0,6143,113,206
356,29,77,4102,7213.0,6804.0,164.0,86.0,5365,117,19
357,29,77,4103,7714.0,7023.0,129.0,85.0,5530,82,72
358,29,77,4201,5123.0,4869.0,40.0,96.0,4105,20,40
359,29,77,4202,6379.0,5406.0,220.0,258.0,4927,131,143
360,29,77,4301,7652.0,6923.0,303.0,241.0,5914,205,136
361,29,77,4302,3970.0,3717.0,54.0,0.0,2781,54,0
362,29,77,4400,7229.0,6837.0,184.0,193.0,5818,93,145
363,29,77,4500,2708.0,2578.0,47.0,73.0,2332,47,44
364,29,77,4600,7703.0,7464.0,82.0,177.0,5552,34,169
365,29,77,4700,4939.0,4772.0,0.0,0.0,3798,0,0
366,29,77,4801,7041.0,6671.0,0.0,192.0,5041,0,164
367,29,77,4802,7302.0,7125.0,0.0,222.0,5241,0,107
368,29,77,4803,4584.0,4426.0,8.0,15.0,3272,8,15
369,29,77,4900,5786.0,5695.0,0.0,0.0,4632,0,0
370,29,77,5001,3792.0,3638.0,9.0,125.0,2941,9,64
371,29,77,5002,6725.0,6249.0,160.0,390.0,4804,134,169
372,29,77,5100,3232.0,3148.0,0.0,56.0,2384,0,26
373,29,77,5200,6410.0,6211.0,13.0,96.0,4878,13,53
374,29,77,5500,4099.0,3460.0,478.0,85.0,3150,303,51
375,29,77,5600,3727.0,3558.0,86.0,180.0,2885,22,104
376,29,77,5700,4005.0,3683.0,35.0,267.0,3316,35,138
377,29,77,5800,5952.0,4912.0,521.0,449.0,5330,476,346
378,29,79,960100,2070.0,2025.0,4.0,3.0,1581,0,2
379,29,79,960200,2141.0,2108.0,0.0,2.0,1493,0,0
380,29,79,960300,2529.0,2290.0,41.0,20.0,1993,41,20
381,29,79,960400,3516.0,3407.0,39.0,69.0,2728,39,31
382,29,81,950100,3534.0,3488.0,2.0,12.0,2632,1,6
383,29,81,950200,2276.0,2248.0,24.0,10.0,1629,19,8
384,29,81,950300,2912.0,2758.0,48.0,148.0,2310,48,82
385,29,83,950100,2905.0,2694.0,165.0,0.0,2208,72,0
386,29,83,950200,3596.0,3548.0,0.0,56.0,2763,0,34
387,29,83,950300,3399.0,3352.0,0.0,69.0,2582,0,20
388,29,83,950400,2951.0,2833.0,12.0,154.0,2384,8,94
389,29,83,950500,3813.0,3653.0,76.0,38.0,2936,57,24
390,29,83,950600,5370.0,5104.0,126.0,126.0,4213,86,49
391,29,85,470100,2819.0,2781.0,2.0,24.0,2287,2,3
392,29,85,470300,2510.0,2429.0,14.0,58.0,2201,14,27
393,29,85,470500,4006.0,3821.0,0.0,48.0,3211,0,25
394,29,87,960100,1191.0,1170.0,1.0,5.0,943,1,4
395,29,87,960200,1729.0,1674.0,0.0,0.0,1353,0,0
396,29,87,960300,1695.0,1630.0,15.0,7.0,1390,15,7
397,29,89,960100,3088.0,2913.0,64.0,51.0,2331,51,0
398,29,89,960200,3480.0,3330.0,67.0,44.0,2673,47,24
399,29,89,960300,3614.0,3090.0,394.0,44.0,2893,342,19
400,29,91,90100,5776.0,5681.0,16.0,85.0,4253,16,66
401,29,91,90200,4090.0,3975.0,0.0,64.0,3011,0,48
402,29,91,90300,4380.0,4253.0,6.0,52.0,3362,0,24
403,29,91,90400,4657.0,4439.0,0.0,72.0,3624,0,72
404,29,91,90500,4824.0,4673.0,27.0,37.0,3697,15,37
405,29,91,90600,4791.0,4649.0,17.0,87.0,3597,5,45
406,29,91,90700,5205.0,4872.0,0.0,243.0,3780,0,105
407,29,91,90800,6603.0,6187.0,59.0,124.0,5127,59,87
408,29,93,950100,2939.0,2866.0,0.0,65.0,2341,0,49
409,29,93,950200,2495.0,2388.0,40.0,1.0,2017,38,0
